TIME,GEO,VALUE
2021-10,Estonia,116.96
2021-11,Estonia,119.02
2021-12,Estonia,122.81
2022-01,Estonia,122.39
2022-02,Estonia,124.02
2022-03,Estonia,127.31
2022-04,Estonia,132.59
2022-05,Estonia,135.02
2022-06,Estonia,138.79
2022-07,Estonia,141.73
2022-08,Estonia,145.01
2022-09,Estonia,145.5
2022-10,Estonia,143.23
2022-11,Estonia,144.49
2022-12,Estonia,144.3
2023-01,Estonia,145.16
2023-02,Estonia,146.14
2023-03,Estonia,147.2
2023-04,Estonia,150.04
2023-05,Estonia,150.08
2023-06,Estonia,151.3
2023-07,Estonia,150.56
2023-08,Estonia,151.25
2023-09,Estonia,151.17
2023-10,Estonia,150.45
2023-11,Estonia,150.48
2023-12,Estonia,150.45
2024-01,Estonia,152.35
2024-02,Estonia,152.54
2024-03,Estonia,153.2
2024-04,Estonia,154.76
2024-05,Estonia,154.76
2024-06,Estonia,155.48
2024-07,Estonia,155.82
2015-01,Ireland,98.7
2015-02,Ireland,99.3
2015-03,Ireland,100
2015-04,Ireland,99.9
2015-05,Ireland,100.4
2015-06,Ireland,100.8
2015-07,Ireland,100.5
2015-08,Ireland,100.8
2015-09,Ireland,100.3
2015-10,Ireland,100
2015-11,Ireland,99.7
2015-12,Ireland,99.6
2016-01,Ireland,98.7
2016-02,Ireland,99.1
2016-03,Ireland,99.4
2016-04,Ireland,99.7
2016-05,Ireland,100.2
2016-06,Ireland,100.9
2016-07,Ireland,100.6
2016-08,Ireland,100.4
2016-09,Ireland,100
2016-10,Ireland,99.6
2016-11,Ireland,99.5
2016-12,Ireland,99.4
2017-01,Ireland,98.9
2017-02,Ireland,99.4
2017-03,Ireland,100
2017-04,Ireland,100.4
2017-05,Ireland,100.2
2017-06,Ireland,100.3
2017-07,Ireland,100.4
2017-08,Ireland,100.8
2017-09,Ireland,100.2
2017-10,Ireland,100.1
2017-11,Ireland,100
2017-12,Ireland,99.9
2018-01,Ireland,99.2
2018-02,Ireland,100.1
2018-03,Ireland,100.5
2018-04,Ireland,100.3
2018-05,Ireland,100.9
2018-06,Ireland,101
2018-07,Ireland,101.4
2018-08,Ireland,101.7
2018-09,Ireland,101.4
2018-10,Ireland,101.2
2018-11,Ireland,100.8
2018-12,Ireland,100.7
2019-01,Ireland,100
2019-02,Ireland,100.8
2019-03,Ireland,101.6
2019-04,Ireland,102
2019-05,Ireland,101.9
2019-06,Ireland,102.1
2019-07,Ireland,101.9
2019-08,Ireland,102.3
2019-09,Ireland,102
2019-10,Ireland,101.8
2019-11,Ireland,101.6
2019-12,Ireland,101.8
2020-01,Ireland,101.1
2020-02,Ireland,101.7
2020-03,Ireland,102.1
2020-04,Ireland,101.7
2020-05,Ireland,101.1
2020-06,Ireland,101.5
2020-07,Ireland,101.3
2020-08,Ireland,101.2
2020-09,Ireland,100.8
2020-10,Ireland,100.3
2020-11,Ireland,100.6
2020-12,Ireland,100.8
2021-01,Ireland,101
2021-02,Ireland,101.3
2021-03,Ireland,102.2
2021-04,Ireland,102.8
2021-05,Ireland,103
2021-06,Ireland,103.1
2021-07,Ireland,103.5
2021-08,Ireland,104.2
2021-09,Ireland,104.6
2021-10,Ireland,105.4
2021-11,Ireland,106
2021-12,Ireland,106.5
2022-01,Ireland,106.1
2022-02,Ireland,107.1
2022-03,Ireland,109.3
2022-04,Ireland,110.3
2022-05,Ireland,111.5
2022-06,Ireland,113
2022-07,Ireland,113.4
2022-08,Ireland,113.6
2022-09,Ireland,113.6
2022-10,Ireland,115.3
2022-11,Ireland,115.5
2022-12,Ireland,115.2
2023-01,Ireland,114.1
2023-02,Ireland,115.8
2023-03,Ireland,116.9
2023-04,Ireland,117.2
2023-05,Ireland,117.5
2023-06,Ireland,118.4
2023-07,Ireland,118.6
2023-08,Ireland,119.2
2023-09,Ireland,119.3
2023-10,Ireland,119.5
2023-11,Ireland,118.4
2023-12,Ireland,118.9
2024-01,Ireland,117.2
2024-02,Ireland,118.5
2024-03,Ireland,118.9
2024-04,Ireland,119.1
2024-05,Ireland,119.8
2024-06,Ireland,120.2
2024-07,Ireland,120.4
2015-01,Greece,98.42
2015-02,Greece,98.21
2015-03,Greece,100.07
2015-04,Greece,100.5
2015-05,Greece,100.28
2015-06,Greece,101.15
2015-07,Greece,99.96
2015-08,Greece,99.75
2015-09,Greece,100.94
2015-10,Greece,100.75
2015-11,Greece,100.01
2015-12,Greece,99.98
2016-01,Greece,98.3
2016-02,Greece,98.28
2016-03,Greece,99.4
2016-04,Greece,100.07
2016-05,Greece,100.08
2016-06,Greece,101.38
2016-07,Greece,100.16
2016-08,Greece,100.18
2016-09,Greece,100.88
2016-10,Greece,101.33
2016-11,Greece,99.85
2016-12,Greece,100.27
2017-01,Greece,99.79
2017-02,Greece,99.69
2017-03,Greece,101.06
2017-04,Greece,101.72
2017-05,Greece,101.56
2017-06,Greece,102.3
2017-07,Greece,101.08
2017-08,Greece,100.77
2017-09,Greece,101.93
2017-10,Greece,101.8
2017-11,Greece,100.9
2017-12,Greece,101.24
2018-01,Greece,100
2018-02,Greece,100.09
2018-03,Greece,101.26
2018-04,Greece,102.23
2018-05,Greece,102.33
2018-06,Greece,103.29
2018-07,Greece,101.87
2018-08,Greece,101.66
2018-09,Greece,103.08
2018-10,Greece,103.59
2018-11,Greece,101.96
2018-12,Greece,101.88
2019-01,Greece,100.54
2019-02,Greece,100.86
