TIME,GEO,SEX,AGE,VALUE
2009,Montenegro,Females,From 20 to 24 years,21346
2010,Montenegro,Females,From 20 to 24 years,21178
2011,Montenegro,Females,From 20 to 24 years,20820
2012,Montenegro,Females,From 20 to 24 years,20403
2013,Montenegro,Females,From 20 to 24 years,19925
2014,Montenegro,Females,From 20 to 24 years,19566
2015,Montenegro,Females,From 20 to 24 years,19522
2016,Montenegro,Females,From 20 to 24 years,19750
2017,Montenegro,Females,From 20 to 24 years,19757
2018,Montenegro,Females,From 20 to 24 years,19525
2019,Montenegro,Females,From 20 to 24 years,19507
2020,Montenegro,Females,From 20 to 24 years,19201
2021,Montenegro,Females,From 20 to 24 years,18773
2022,Montenegro,Females,From 20 to 24 years,18598
2023,Montenegro,Females,From 20 to 24 years,18464
2008,Moldova,Females,From 20 to 24 years,173653
2009,Moldova,Females,From 20 to 24 years,176635
2010,Moldova,Females,From 20 to 24 years,176158
2011,Moldova,Females,From 20 to 24 years,173184
2012,Moldova,Females,From 20 to 24 years,167892
2013,Moldova,Females,From 20 to 24 years,160450
2014,Moldova,Females,From 20 to 24 years,152315
2015,Moldova,Females,From 20 to 24 years,145367
2017,Moldova,Females,From 20 to 24 years,129997
2008,North Macedonia,Females,From 20 to 24 years,80407
2009,North Macedonia,Females,From 20 to 24 years,80520
2010,North Macedonia,Females,From 20 to 24 years,79619
2011,North Macedonia,Females,From 20 to 24 years,78646
2012,North Macedonia,Females,From 20 to 24 years,78212
2013,North Macedonia,Females,From 20 to 24 years,77294
2014,North Macedonia,Females,From 20 to 24 years,75697
2015,North Macedonia,Females,From 20 to 24 years,74976
2016,North Macedonia,Females,From 20 to 24 years,73384
2017,North Macedonia,Females,From 20 to 24 years,71220
2018,North Macedonia,Females,From 20 to 24 years,68561
2019,North Macedonia,Females,From 20 to 24 years,66458
2020,North Macedonia,Females,From 20 to 24 years,63381
2021,North Macedonia,Females,From 20 to 24 years,61983
2022,North Macedonia,Females,From 20 to 24 years,52039
2008,Georgia,Females,From 20 to 24 years,177758
2009,Georgia,Females,From 20 to 24 years,178293
2010,Georgia,Females,From 20 to 24 years,179706
2011,Georgia,Females,From 20 to 24 years,181614
2012,Georgia,Females,From 20 to 24 years,183361
2014,Georgia,Females,From 20 to 24 years,172665
2015,Georgia,Females,From 20 to 24 years,143000
2016,Georgia,Females,From 20 to 24 years,120800
2017,Georgia,Females,From 20 to 24 years,112000
2018,Georgia,Females,From 20 to 24 years,107448
2019,Georgia,Females,From 20 to 24 years,104883
2020,Georgia,Females,From 20 to 24 years,103177
2008,Albania,Females,From 20 to 24 years,127801
2009,Albania,Females,From 20 to 24 years,125997
2010,Albania,Females,From 20 to 24 years,122965
2011,Albania,Females,From 20 to 24 years,119986
2012,Albania,Females,From 20 to 24 years,122270
2013,Albania,Females,From 20 to 24 years,124203
2014,Albania,Females,From 20 to 24 years,125142
2015,Albania,Females,From 20 to 24 years,125216
2016,Albania,Females,From 20 to 24 years,123601
2017,Albania,Females,From 20 to 24 years,123992
2018,Albania,Females,From 20 to 24 years,122604
2019,Albania,Females,From 20 to 24 years,118460
2020,Albania,Females,From 20 to 24 years,113615
2021,Albania,Females,From 20 to 24 years,109651
2022,Albania,Females,From 20 to 24 years,101448
2023,Albania,Females,From 20 to 24 years,97887
2008,Serbia,Females,From 20 to 24 years,243744
2009,Serbia,Females,From 20 to 24 years,238698
2010,Serbia,Females,From 20 to 24 years,231240
2011,Serbia,Females,From 20 to 24 years,219348
2012,Serbia,Females,From 20 to 24 years,215969
2013,Serbia,Females,From 20 to 24 years,211059
2014,Serbia,Females,From 20 to 24 years,206824
2015,Serbia,Females,From 20 to 24 years,203737
2016,Serbia,Females,From 20 to 24 years,201012
2017,Serbia,Females,From 20 to 24 years,196073
2018,Serbia,Females,From 20 to 24 years,191107
2019,Serbia,Females,From 20 to 24 years,185085
2020,Serbia,Females,From 20 to 24 years,178665
2021,Serbia,Females,From 20 to 24 years,172475
2022,Serbia,Females,From 20 to 24 years,170434
2023,Serbia,Females,From 20 to 24 years,165417
2008,Türkiye,Females,From 20 to 24 years,3058769
2009,Türkiye,Females,From 20 to 24 years,3068933
2010,Türkiye,Females,From 20 to 24 years,3075369
2011,Türkiye,Females,From 20 to 24 years,3066828
2012,Türkiye,Females,From 20 to 24 years,3050973
2013,Türkiye,Females,From 20 to 24 years,3034836
2014,Türkiye,Females,From 20 to 24 years,3047920
2015,Türkiye,Females,From 20 to 24 years,3071819
2016,Türkiye,Females,From 20 to 24 years,3089999
2017,Türkiye,Females,From 20 to 24 years,3117959
2018,Türkiye,Females,From 20 to 24 years,3162174
2019,Türkiye,Females,From 20 to 24 years,3199832
2020,Türkiye,Females,From 20 to 24 years,3231704
2021,Türkiye,Females,From 20 to 24 years,3255202
2022,Türkiye,Females,From 20 to 24 years,3296170
2023,Türkiye,Females,From 20 to 24 years,3245984
2008,Ukraine,Females,From 20 to 24 years,1902049
2009,Ukraine,Females,From 20 to 24 years,1861291
2010,Ukraine,Females,From 20 to 24 years,1805319
2011,Ukraine,Females,From 20 to 24 years,1742967
2012,Ukraine,Females,From 20 to 24 years,1654811
2013,Ukraine,Females,From 20 to 24 years,1575056
2014,Ukraine,Females,From 20 to 24 years,1483687
2015,Ukraine,Females,From 20 to 24 years,1332025
2016,Ukraine,Females,From 20 to 24 years,1258455
2017,Ukraine,Females,From 20 to 24 years,1190706
2018,Ukraine,Females,From 20 to 24 years,1124140
2019,Ukraine,Females,From 20 to 24 years,1069071
2020,Ukraine,Females,From 20 to 24 years,1016740
2021,Ukraine,Females,From 20 to 24 years,969836
2022,Ukraine,Females,From 20 to 24 years,926575
2016,Kosovo*,Females,From 20 to 24 years,82668
2017,Kosovo*,Females,From 20 to 24 years,77998
2018,Kosovo*,Females,From 20 to 24 years,78782
2019,Kosovo*,Females,From 20 to 24 years,76451
2020,Kosovo*,Females,From 20 to 24 years,74472
2008,Andorra,Females,From 20 to 24 years,2311
2009,Andorra,Females,From 20 to 24 years,2264
2010,Andorra,Females,From 20 to 24 years,2133
2011,Andorra,Females,From 20 to 24 years,1893
2012,Andorra,Females,From 20 to 24 years,1893
2013,Andorra,Females,From 20 to 24 years,1871
2019,Andorra,Females,From 20 to 24 years,1841
2008,Belarus,Females,From 20 to 24 years,412402
2009,Belarus,Females,From 20 to 24 years,407158
2011,Belarus,Females,From 20 to 24 years,370711
2012,Belarus,Females,From 20 to 24 years,357801
2013,Belarus,Females,From 20 to 24 years,345895
2014,Belarus,Females,From 20 to 24 years,326860
2015,Belarus,Females,From 20 to 24 years,307287
2016,Belarus,Females,From 20 to 24 years,288763
2017,Belarus,Females,From 20 to 24 years,269600
2018,Belarus,Females,From 20 to 24 years,249213
2019,Belarus,Females,From 20 to 24 years,237561
2008,Russia,Females,From 20 to 24 years,6305235
2009,Russia,Females,From 20 to 24 years,6210629
2010,Russia,Females,From 20 to 24 years,6044059
2011,Russia,Females,From 20 to 24 years,5999283
2014,Russia,Females,From 20 to 24 years,4888818
2012,San Marino,Females,From 20 to 24 years,714
2013,San Marino,Females,From 20 to 24 years,710
2018,San Marino,Females,From 20 to 24 years,762
2020,San Marino,Females,From 20 to 24 years,809
2008,Armenia,Females,From 20 to 24 years,156127
2009,Armenia,Females,From 20 to 24 years,156879
2010,Armenia,Females,From 20 to 24 years,155976
2014,Armenia,Females,From 20 to 24 years,138410
2015,Armenia,Females,From 20 to 24 years,129675
2016,Armenia,Females,From 20 to 24 years,118559
2017,Armenia,Females,From 20 to 24 years,106922
2018,Armenia,Females,From 20 to 24 years,98087
2019,Armenia,Females,From 20 to 24 years,91131
2020,Armenia,Females,From 20 to 24 years,85491
2008,Azerbaijan,Females,From 20 to 24 years,426300
2009,Azerbaijan,Females,From 20 to 24 years,449800
2010,Azerbaijan,Females,From 20 to 24 years,473747
2011,Azerbaijan,Females,From 20 to 24 years,476147
2012,Azerbaijan,Females,From 20 to 24 years,472242
2013,Azerbaijan,Females,From 20 to 24 years,465681
2014,Azerbaijan,Females,From 20 to 24 years,454520
2015,Azerbaijan,Females,From 20 to 24 years,441436
2016,Azerbaijan,Females,From 20 to 24 years,423074
2017,Azerbaijan,Females,From 20 to 24 years,406242
2018,Azerbaijan,Females,From 20 to 24 years,383773
2019,Azerbaijan,Females,From 20 to 24 years,363348
2020,Azerbaijan,Females,From 20 to 24 years,343806
2008,Belgium,Total,From 25 to 29 years,686192
2009,Belgium,Total,From 25 to 29 years,690986
2010,Belgium,Total,From 25 to 29 years,691709
2011,Belgium,Total,From 25 to 29 years,700373
2012,Belgium,Total,From 25 to 29 years,701310
2013,Belgium,Total,From 25 to 29 years,704204
2014,Belgium,Total,From 25 to 29 years,709177
2015,Belgium,Total,From 25 to 29 years,716082
2016,Belgium,Total,From 25 to 29 years,731621
2017,Belgium,Total,From 25 to 29 years,738490
2018,Belgium,Total,From 25 to 29 years,744939
2019,Belgium,Total,From 25 to 29 years,746547
2020,Belgium,Total,From 25 to 29 years,744436
2021,Belgium,Total,From 25 to 29 years,736597
2022,Belgium,Total,From 25 to 29 years,730914
2023,Belgium,Total,From 25 to 29 years,734020
2008,Bulgaria,Total,From 25 to 29 years,520417
2009,Bulgaria,Total,From 25 to 29 years,508765
2010,Bulgaria,Total,From 25 to 29 years,497440
2011,Bulgaria,Total,From 25 to 29 years,491248
2012,Bulgaria,Total,From 25 to 29 years,490354
2013,Bulgaria,Total,From 25 to 29 years,464919
2014,Bulgaria,Total,From 25 to 29 years,456494
2015,Bulgaria,Total,From 25 to 29 years,445568
2016,Bulgaria,Total,From 25 to 29 years,435893
2017,Bulgaria,Total,From 25 to 29 years,416455
2018,Bulgaria,Total,From 25 to 29 years,393715
2019,Bulgaria,Total,From 25 to 29 years,368528
2020,Bulgaria,Total,From 25 to 29 years,340535
2021,Bulgaria,Total,From 25 to 29 years,317736
2022,Bulgaria,Total,From 25 to 29 years,295019
2023,Bulgaria,Total,From 25 to 29 years,280313
2008,Czechia,Total,From 25 to 29 years,797881
2009,Czechia,Total,From 25 to 29 years,771789
2010,Czechia,Total,From 25 to 29 years,743257
2011,Czechia,Total,From 25 to 29 years,728047
2012,Czechia,Total,From 25 to 29 years,721200
2013,Czechia,Total,From 25 to 29 years,711493
2014,Czechia,Total,From 25 to 29 years,704759
2015,Czechia,Total,From 25 to 29 years,696939
2016,Czechia,Total,From 25 to 29 years,690104
2017,Czechia,Total,From 25 to 29 years,685593
2018,Czechia,Total,From 25 to 29 years,677564
2019,Czechia,Total,From 25 to 29 years,668977
2020,Czechia,Total,From 25 to 29 years,651892
2021,Czechia,Total,From 25 to 29 years,602411
2022,Czechia,Total,From 25 to 29 years,572593
2023,Czechia,Total,From 25 to 29 years,570325
2008,Denmark,Total,From 25 to 29 years,319723
2009,Denmark,Total,From 25 to 29 years,315123
2010,Denmark,Total,From 25 to 29 years,310970
2011,Denmark,Total,From 25 to 29 years,311548
2012,Denmark,Total,From 25 to 29 years,316190
2013,Denmark,Total,From 25 to 29 years,322222
2014,Denmark,Total,From 25 to 29 years,333707
2015,Denmark,Total,From 25 to 29 years,346358
2016,Denmark,Total,From 25 to 29 years,361983
2017,Denmark,Total,From 25 to 29 years,374117
2018,Denmark,Total,From 25 to 29 years,386777
2019,Denmark,Total,From 25 to 29 years,394889
2020,Denmark,Total,From 25 to 29 years,400810
2021,Denmark,Total,From 25 to 29 years,402836
2022,Denmark,Total,From 25 to 29 years,406075
2023,Denmark,Total,From 25 to 29 years,409553
2008,Germany,Total,From 25 to 29 years,4976730
2009,Germany,Total,From 25 to 29 years,4984192
2010,Germany,Total,From 25 to 29 years,4978420
2011,Germany,Total,From 25 to 29 years,4813726
2012,Germany,Total,From 25 to 29 years,4855407
2013,Germany,Total,From 25 to 29 years,4923879
2014,Germany,Total,From 25 to 29 years,5046426
2015,Germany,Total,From 25 to 29 years,5166826
2016,Germany,Total,From 25 to 29 years,5387681
2017,Germany,Total,From 25 to 29 years,5366756
2018,Germany,Total,From 25 to 29 years,5298080
2019,Germany,Total,From 25 to 29 years,5193335
2020,Germany,Total,From 25 to 29 years,5074471
2021,Germany,Total,From 25 to 29 years,4912939
2022,Germany,Total,From 25 to 29 years,4892729
2023,Germany,Total,From 25 to 29 years,5016416
2008,Estonia,Total,From 25 to 29 years,93850
2009,Estonia,Total,From 25 to 29 years,94770
2010,Estonia,Total,From 25 to 29 years,95620
2011,Estonia,Total,From 25 to 29 years,95590
2012,Estonia,Total,From 25 to 29 years,95603
2013,Estonia,Total,From 25 to 29 years,96742
2014,Estonia,Total,From 25 to 29 years,97499
2015,Estonia,Total,From 25 to 29 years,99054
2016,Estonia,Total,From 25 to 29 years,99140
2017,Estonia,Total,From 25 to 29 years,96576
2018,Estonia,Total,From 25 to 29 years,93383
2019,Estonia,Total,From 25 to 29 years,88133
2020,Estonia,Total,From 25 to 29 years,81682
2021,Estonia,Total,From 25 to 29 years,75693
2022,Estonia,Total,From 25 to 29 years,72479
2023,Estonia,Total,From 25 to 29 years,71376
2008,Ireland,Total,From 25 to 29 years,406003
2009,Ireland,Total,From 25 to 29 years,402319
2010,Ireland,Total,From 25 to 29 years,390373
2011,Ireland,Total,From 25 to 29 years,375490
2012,Ireland,Total,From 25 to 29 years,346916
2013,Ireland,Total,From 25 to 29 years,326669
2014,Ireland,Total,From 25 to 29 years,309754
2015,Ireland,Total,From 25 to 29 years,300545
2016,Ireland,Total,From 25 to 29 years,297345
2017,Ireland,Total,From 25 to 29 years,293702
2018,Ireland,Total,From 25 to 29 years,289887
2019,Ireland,Total,From 25 to 29 years,289721
2020,Ireland,Total,From 25 to 29 years,290159
2021,Ireland,Total,From 25 to 29 years,292046
2022,Ireland,Total,From 25 to 29 years,295508
2023,Ireland,Total,From 25 to 29 years,309559
2008,Greece,Total,From 25 to 29 years,840951
2009,Greece,Total,From 25 to 29 years,826664
2010,Greece,Total,From 25 to 29 years,799334
2011,Greece,Total,From 25 to 29 years,762992
2012,Greece,Total,From 25 to 29 years,719851
2013,Greece,Total,From 25 to 29 years,669605
2014,Greece,Total,From 25 to 29 years,634151
2015,Greece,Total,From 25 to 29 years,611122
2016,Greece,Total,From 25 to 29 years,593655
2017,Greece,Total,From 25 to 29 years,586211
2018,Greece,Total,From 25 to 29 years,583759
2019,Greece,Total,From 25 to 29 years,568972
2020,Greece,Total,From 25 to 29 years,564676
2021,Greece,Total,From 25 to 29 years,557873
2022,Greece,Total,From 25 to 29 years,529920
2023,Greece,Total,From 25 to 29 years,529377
2008,Spain,Total,From 25 to 29 years,3686183
2009,Spain,Total,From 25 to 29 years,3566230
2010,Spain,Total,From 25 to 29 years,3402286
2011,Spain,Total,From 25 to 29 years,3225923
2012,Spain,Total,From 25 to 29 years,3065915
2013,Spain,Total,From 25 to 29 years,2899633
2014,Spain,Total,From 25 to 29 years,2749308
2015,Spain,Total,From 25 to 29 years,2640340
2016,Spain,Total,From 25 to 29 years,2564166
2017,Spain,Total,From 25 to 29 years,2518768
2018,Spain,Total,From 25 to 29 years,2512344
2019,Spain,Total,From 25 to 29 years,2525120
2020,Spain,Total,From 25 to 29 years,2544980
2021,Spain,Total,From 25 to 29 years,2531860
2022,Spain,Total,From 25 to 29 years,2514690
2023,Spain,Total,From 25 to 29 years,2573472
2008,France,Total,From 25 to 29 years,4014694
2009,France,Total,From 25 to 29 years,4020981
2010,France,Total,From 25 to 29 years,4019965
2011,France,Total,From 25 to 29 years,3984342
2012,France,Total,From 25 to 29 years,3963811
2013,France,Total,From 25 to 29 years,3931802
2014,France,Total,From 25 to 29 years,3969470
2015,France,Total,From 25 to 29 years,3968587
2016,France,Total,From 25 to 29 years,3951657
2017,France,Total,From 25 to 29 years,3910256
2018,France,Total,From 25 to 29 years,3885848
2019,France,Total,From 25 to 29 years,3813474
2020,France,Total,From 25 to 29 years,3771805
2021,France,Total,From 25 to 29 years,3762034
2022,France,Total,From 25 to 29 years,3755339
2023,France,Total,From 25 to 29 years,3752000
2008,Croatia,Total,From 25 to 29 years,295959
2009,Croatia,Total,From 25 to 29 years,295717
2010,Croatia,Total,From 25 to 29 years,294563
2011,Croatia,Total,From 25 to 29 years,290549
2012,Croatia,Total,From 25 to 29 years,285562
2013,Croatia,Total,From 25 to 29 years,278054
2014,Croatia,Total,From 25 to 29 years,271128
2015,Croatia,Total,From 25 to 29 years,260281
2016,Croatia,Total,From 25 to 29 years,251186
2017,Croatia,Total,From 25 to 29 years,242338
2018,Croatia,Total,From 25 to 29 years,229737
2019,Croatia,Total,From 25 to 29 years,221950
2020,Croatia,Total,From 25 to 29 years,217893
2021,Croatia,Total,From 25 to 29 years,214444
2022,Croatia,Total,From 25 to 29 years,215051
2023,Croatia,Total,From 25 to 29 years,220875
2008,Italy,Total,From 25 to 29 years,3531963
2009,Italy,Total,From 25 to 29 years,3460079
2010,Italy,Total,From 25 to 29 years,3396597
2011,Italy,Total,From 25 to 29 years,3357372
2012,Italy,Total,From 25 to 29 years,3314664
2013,Italy,Total,From 25 to 29 years,3278455
2014,Italy,Total,From 25 to 29 years,3266140
2015,Italy,Total,From 25 to 29 years,3235616
2016,Italy,Total,From 25 to 29 years,3218786
2017,Italy,Total,From 25 to 29 years,3215851
2018,Italy,Total,From 25 to 29 years,3216640
2019,Italy,Total,From 25 to 29 years,3175599
2020,Italy,Total,From 25 to 29 years,3128494
2021,Italy,Total,From 25 to 29 years,3045579
2022,Italy,Total,From 25 to 29 years,3001345
2023,Italy,Total,From 25 to 29 years,2995670
2008,Cyprus,Total,From 25 to 29 years,61977
2009,Cyprus,Total,From 25 to 29 years,65647
2010,Cyprus,Total,From 25 to 29 years,69383
2011,Cyprus,Total,From 25 to 29 years,71705
2012,Cyprus,Total,From 25 to 29 years,75159
2013,Cyprus,Total,From 25 to 29 years,75092
2014,Cyprus,Total,From 25 to 29 years,72646
2015,Cyprus,Total,From 25 to 29 years,71655
2016,Cyprus,Total,From 25 to 29 years,71225
2017,Cyprus,Total,From 25 to 29 years,71603
2018,Cyprus,Total,From 25 to 29 years,73854
2019,Cyprus,Total,From 25 to 29 years,74578
2020,Cyprus,Total,From 25 to 29 years,75334
2021,Cyprus,Total,From 25 to 29 years,75175
2022,Cyprus,Total,From 25 to 29 years,75055
2023,Cyprus,Total,From 25 to 29 years,74899
2008,Latvia,Total,From 25 to 29 years,151015
2009,Latvia,Total,From 25 to 29 years,152409
2010,Latvia,Total,From 25 to 29 years,150828
2011,Latvia,Total,From 25 to 29 years,147966
2012,Latvia,Total,From 25 to 29 years,148320
2013,Latvia,Total,From 25 to 29 years,149365
2014,Latvia,Total,From 25 to 29 years,147024
2015,Latvia,Total,From 25 to 29 years,144802
2016,Latvia,Total,From 25 to 29 years,142180
2017,Latvia,Total,From 25 to 29 years,137155
2018,Latvia,Total,From 25 to 29 years,131714
2019,Latvia,Total,From 25 to 29 years,123792
2020,Latvia,Total,From 25 to 29 years,115546
2021,Latvia,Total,From 25 to 29 years,106132
2022,Latvia,Total,From 25 to 29 years,97180
2023,Latvia,Total,From 25 to 29 years,90043
2008,Lithuania,Total,From 25 to 29 years,206221
2009,Lithuania,Total,From 25 to 29 years,207600
2010,Lithuania,Total,From 25 to 29 years,206416
2011,Lithuania,Total,From 25 to 29 years,194190
2012,Lithuania,Total,From 25 to 29 years,192347
2013,Lithuania,Total,From 25 to 29 years,194659
2014,Lithuania,Total,From 25 to 29 years,193772
2015,Lithuania,Total,From 25 to 29 years,191174
2016,Lithuania,Total,From 25 to 29 years,189688
2017,Lithuania,Total,From 25 to 29 years,188059
2018,Lithuania,Total,From 25 to 29 years,184712
2019,Lithuania,Total,From 25 to 29 years,181350
2020,Lithuania,Total,From 25 to 29 years,179708
2021,Lithuania,Total,From 25 to 29 years,176467
2022,Lithuania,Total,From 25 to 29 years,162568
2023,Lithuania,Total,From 25 to 29 years,159907
2008,Luxembourg,Total,From 25 to 29 years,32909
2009,Luxembourg,Total,From 25 to 29 years,33894
2010,Luxembourg,Total,From 25 to 29 years,34700
2011,Luxembourg,Total,From 25 to 29 years,35282
2012,Luxembourg,Total,From 25 to 29 years,36618
2013,Luxembourg,Total,From 25 to 29 years,37566
2014,Luxembourg,Total,From 25 to 29 years,38940
2015,Luxembourg,Total,From 25 to 29 years,40196
2016,Luxembourg,Total,From 25 to 29 years,41908
2017,Luxembourg,Total,From 25 to 29 years,43165
2018,Luxembourg,Total,From 25 to 29 years,44724
2019,Luxembourg,Total,From 25 to 29 years,46125
2020,Luxembourg,Total,From 25 to 29 years,47573
2021,Luxembourg,Total,From 25 to 29 years,47600
2022,Luxembourg,Total,From 25 to 29 years,48783
2023,Luxembourg,Total,From 25 to 29 years,50321
2008,Hungary,Total,From 25 to 29 years,756440
2009,Hungary,Total,From 25 to 29 years,726726
2010,Hungary,Total,From 25 to 29 years,699967
2011,Hungary,Total,From 25 to 29 years,684981
2012,Hungary,Total,From 25 to 29 years,615468
2013,Hungary,Total,From 25 to 29 years,609842
2014,Hungary,Total,From 25 to 29 years,610086
2015,Hungary,Total,From 25 to 29 years,613342
2016,Hungary,Total,From 25 to 29 years,616224
2017,Hungary,Total,From 25 to 29 years,620563
2018,Hungary,Total,From 25 to 29 years,625537
2019,Hungary,Total,From 25 to 29 years,629354
2020,Hungary,Total,From 25 to 29 years,630891
2021,Hungary,Total,From 25 to 29 years,621740
2022,Hungary,Total,From 25 to 29 years,605443
2023,Hungary,Total,From 25 to 29 years,568072
2008,Malta,Total,From 25 to 29 years,30059
2009,Malta,Total,From 25 to 29 years,30484
2010,Malta,Total,From 25 to 29 years,30588
2011,Malta,Total,From 25 to 29 years,30285
2012,Malta,Total,From 25 to 29 years,30287
2013,Malta,Total,From 25 to 29 years,30582
2014,Malta,Total,From 25 to 29 years,31626
2015,Malta,Total,From 25 to 29 years,33259
2016,Malta,Total,From 25 to 29 years,35152
2017,Malta,Total,From 25 to 29 years,36940
2018,Malta,Total,From 25 to 29 years,40105
2019,Malta,Total,From 25 to 29 years,43511
2020,Malta,Total,From 25 to 29 years,46198
2021,Malta,Total,From 25 to 29 years,44868
2022,Malta,Total,From 25 to 29 years,44011
2023,Malta,Total,From 25 to 29 years,46662
2008,Netherlands,Total,From 25 to 29 years,989706
2009,Netherlands,Total,From 25 to 29 years,991973
2010,Netherlands,Total,From 25 to 29 years,999355
2011,Netherlands,Total,From 25 to 29 years,1001538
2012,Netherlands,Total,From 25 to 29 years,1011311
2013,Netherlands,Total,From 25 to 29 years,1023390
2014,Netherlands,Total,From 25 to 29 years,1036778
2015,Netherlands,Total,From 25 to 29 years,1050674
2016,Netherlands,Total,From 25 to 29 years,1071002
2017,Netherlands,Total,From 25 to 29 years,1090087
2018,Netherlands,Total,From 25 to 29 years,1106157
2019,Netherlands,Total,From 25 to 29 years,1121863
2020,Netherlands,Total,From 25 to 29 years,1138965
2021,Netherlands,Total,From 25 to 29 years,1132942
2022,Netherlands,Total,From 25 to 29 years,1134506
2023,Netherlands,Total,From 25 to 29 years,1154999
2008,Austria,Total,From 25 to 29 years,540439
2009,Austria,Total,From 25 to 29 years,549651
2010,Austria,Total,From 25 to 29 years,555486
2011,Austria,Total,From 25 to 29 years,555080
2012,Austria,Total,From 25 to 29 years,552932
2013,Austria,Total,From 25 to 29 years,552540
2014,Austria,Total,From 25 to 29 years,559979
2015,Austria,Total,From 25 to 29 years,570027
2016,Austria,Total,From 25 to 29 years,587787
2017,Austria,Total,From 25 to 29 years,598504
2018,Austria,Total,From 25 to 29 years,603826
2019,Austria,Total,From 25 to 29 years,603708
2020,Austria,Total,From 25 to 29 years,601402
2021,Austria,Total,From 25 to 29 years,595462
2022,Austria,Total,From 25 to 29 years,591572
2023,Austria,Total,From 25 to 29 years,592713
2008,Poland,Total,From 25 to 29 years,3167759
2009,Poland,Total,From 25 to 29 years,3235993
2010,Poland,Total,From 25 to 29 years,3173183
2011,Poland,Total,From 25 to 29 years,3171110
2012,Poland,Total,From 25 to 29 years,3148276
2013,Poland,Total,From 25 to 29 years,3078203
2014,Poland,Total,From 25 to 29 years,2973869
2015,Poland,Total,From 25 to 29 years,2875535
2016,Poland,Total,From 25 to 29 years,2792010
2017,Poland,Total,From 25 to 29 years,2732215
2018,Poland,Total,From 25 to 29 years,2664508
2019,Poland,Total,From 25 to 29 years,2589169
2020,Poland,Total,From 25 to 29 years,2508023
2021,Poland,Total,From 25 to 29 years,2306977
2022,Poland,Total,From 25 to 29 years,2211703
2023,Poland,Total,From 25 to 29 years,2128895
2008,Portugal,Total,From 25 to 29 years,740215
2009,Portugal,Total,From 25 to 29 years,716209
2010,Portugal,Total,From 25 to 29 years,694667
2011,Portugal,Total,From 25 to 29 years,662622
2012,Portugal,Total,From 25 to 29 years,637495
2013,Portugal,Total,From 25 to 29 years,606898
2014,Portugal,Total,From 25 to 29 years,585742
2015,Portugal,Total,From 25 to 29 years,566505
2016,Portugal,Total,From 25 to 29 years,557449
2017,Portugal,Total,From 25 to 29 years,551919
2018,Portugal,Total,From 25 to 29 years,549467
2019,Portugal,Total,From 25 to 29 years,547330
2020,Portugal,Total,From 25 to 29 years,547680
2021,Portugal,Total,From 25 to 29 years,547593
2022,Portugal,Total,From 25 to 29 years,542243
2023,Portugal,Total,From 25 to 29 years,555084
2008,Romania,Total,From 25 to 29 years,1442831
2009,Romania,Total,From 25 to 29 years,1328017
2010,Romania,Total,From 25 to 29 years,1313891
2011,Romania,Total,From 25 to 29 years,1305210
2012,Romania,Total,From 25 to 29 years,1308510
2013,Romania,Total,From 25 to 29 years,1344539
2014,Romania,Total,From 25 to 29 years,1392410
2015,Romania,Total,From 25 to 29 years,1405491
2016,Romania,Total,From 25 to 29 years,1357276
2017,Romania,Total,From 25 to 29 years,1291598
2018,Romania,Total,From 25 to 29 years,1208345
2019,Romania,Total,From 25 to 29 years,1127138
2020,Romania,Total,From 25 to 29 years,1054739
2021,Romania,Total,From 25 to 29 years,1007713
2022,Romania,Total,From 25 to 29 years,958882
2023,Romania,Total,From 25 to 29 years,960746
2008,Slovenia,Total,From 25 to 29 years,151134
2009,Slovenia,Total,From 25 to 29 years,151449
2010,Slovenia,Total,From 25 to 29 years,149639
2011,Slovenia,Total,From 25 to 29 years,145535
2012,Slovenia,Total,From 25 to 29 years,141362
2013,Slovenia,Total,From 25 to 29 years,138904
2014,Slovenia,Total,From 25 to 29 years,136799
2015,Slovenia,Total,From 25 to 29 years,132790
2016,Slovenia,Total,From 25 to 29 years,128172
2017,Slovenia,Total,From 25 to 29 years,123848
2018,Slovenia,Total,From 25 to 29 years,117900
2019,Slovenia,Total,From 25 to 29 years,114680
2020,Slovenia,Total,From 25 to 29 years,113876
2021,Slovenia,Total,From 25 to 29 years,113005
2022,Slovenia,Total,From 25 to 29 years,111090
2023,Slovenia,Total,From 25 to 29 years,111829
2008,Slovakia,Total,From 25 to 29 years,456977
2009,Slovakia,Total,From 25 to 29 years,450665
2010,Slovakia,Total,From 25 to 29 years,442919
2011,Slovakia,Total,From 25 to 29 years,439049
2012,Slovakia,Total,From 25 to 29 years,435064
2013,Slovakia,Total,From 25 to 29 years,428493
2014,Slovakia,Total,From 25 to 29 years,421087
2015,Slovakia,Total,From 25 to 29 years,412184
2016,Slovakia,Total,From 25 to 29 years,403717
2017,Slovakia,Total,From 25 to 29 years,396907
2018,Slovakia,Total,From 25 to 29 years,388875
2019,Slovakia,Total,From 25 to 29 years,380385
2020,Slovakia,Total,From 25 to 29 years,367835
2021,Slovakia,Total,From 25 to 29 years,350572
2022,Slovakia,Total,From 25 to 29 years,330470
2023,Slovakia,Total,From 25 to 29 years,315298
2008,Finland,Total,From 25 to 29 years,334682
2009,Finland,Total,From 25 to 29 years,340416
2010,Finland,Total,From 25 to 29 years,344634
2011,Finland,Total,From 25 to 29 years,346063
